,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14714,14714,214713,Camila,Romero,R,19981005.0,ECU,175.0,Q84219254,2014-09-01,2024-04-22
14715,14715,214714,Natasa,Kosanin,U,19970616.0,SRB,,,2021-09-06,2022-06-27
14716,14716,214715,Tamara,Teufl,R,19971226.0,AUT,,,2014-09-01,2015-08-31
14717,14717,214716,Jana,Jablonovska,R,19960203.0,SVK,,Q61314881,2014-08-04,2020-12-14
14718,14718,214717,Sabrina,Rittberger,U,19970506.0,GER,,Q55810246,2014-09-01,2021-05-24
14719,14719,214718,Christina,Wolfgruber,U,19980101.0,AUT,,,2016-10-31,2016-09-12
14720,14720,214719,Iva,Krivic,U,20000512.0,CRO,,,2014-09-01,2014-09-01
14721,14721,214720,Marketa,Zeminova,U,19961127.0,CZE,,,2014-09-01,2014-09-01
14722,14722,214721,Eliska,Kropackova,U,19980603.0,CZE,,,2014-09-01,2014-09-01
14723,14723,214722,Andrea,Vosecka,U,19950222.0,CZE,,,2014-09-01,2014-09-01
14724,14724,214723,Kristyna,Rouckova,R,19960815.0,CZE,,,2014-08-25,2014-09-08
14725,14725,214724,Jiaxi,Lu,U,19970303.0,CHN,,Q106367804,2015-03-16,2023-06-26
14726,14726,214725,Ekaterina,Kurtukova,U,19991202.0,RUS,,,2014-08-18,2014-08-18
14727,14727,214726,Isabelle,Boulais,U,20000412.0,CAN,,Q55991203,2016-08-08,2024-09-30
14728,14728,214727,Anca,Craciun,U,20000210.0,CAN,,,2014-07-14,2018-03-12
14729,14729,214728,Ashley,Kratzer,L,19990208.0,USA,180.0,Q36397388,2014-07-14,2024-10-21
14730,14730,214729,Devin,Chypyha,R,19960314.0,CAN,,,2014-07-14,2015-06-15
14731,14731,214730,Dominique,Beauvais,U,19960501.0,CAN,,,2014-07-14,2014-07-14
14732,14732,214731,Jena,Cheng,U,19960827.0,CAN,,,2014-07-14,2014-07-14
14733,14733,214732,Kelly,Mcnabney,U,19840816.0,CAN,,,2014-07-14,2014-07-14
14734,14734,214733,Suzuho,Oshino,U,19960803.0,JPN,,,2016-05-16,2023-09-25
14735,14735,214734,Eimi,Friant,U,19990213.0,JPN,,,2019-02-18,2019-04-22
14736,14736,214735,Jade,Rafalovicz,U,19980317.0,FRA,,,2014-07-21,2014-03-31
14737,14737,214736,Darina,Mueller,R,19980409.0,GER,,,2014-07-21,2018-11-05
14738,14738,214737,Charlene,Mueller,R,19950828.0,GER,,,2014-07-21,2018-02-12
14739,14739,214738,Charlene,Favier,U,19940214.0,FRA,,,2014-07-21,2015-07-20
14740,14740,214739,Mariella,Minetti,U,19990804.0,FIN,,,2014-07-21,2022-05-23
14741,14741,214740,Luize Liva,Strike,R,19951028.0,LAT,,,2014-07-21,2014-07-21
14742,14742,214741,Anastasia,Kulikova,L,20000215.0,FIN,,Q57338276,2015-11-16,2024-04-08
14743,14743,214742,Tanja,Winkler,U,19911231.0,GER,,,2014-07-21,2014-07-21
14744,14744,214743,Lena,Ruppert,U,19981025.0,GER,,,2017-09-11,2021-07-19
14745,14745,214744,Angelina,Shakhraychuk,R,19991105.0,UKR,,,2015-09-28,2018-06-25
14746,14746,214745,Brittany,Dubins,U,19920303.0,USA,,,2014-07-21,2014-07-21
14747,14747,214746,Federica,Bilardo,U,19990706.0,ITA,,Q65923185,2014-10-06,2024-04-01
14748,14748,214747,Mila,Mejic,L,20000210.0,SRB,,,2018-07-16,2018-07-16
14749,14749,214748,Janina,Braun,U,19960822.0,GER,,,2013-09-02,2018-06-18
14750,14750,214749,Helena,Nyikos,U,19960301.0,AUT,,,2014-07-21,2014-07-21
