,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
62782,62782,210498,Gerard,Campana Lee,R,20041001.0,KOR,183.0,,2022-03-14,2024-11-25
62783,62783,210499,Janis Raffael,Simmen,U,20060429.0,SUI,,,2022-03-14,2022-03-14
62784,62784,210500,Skander,Ben Fraj,U,20010905.0,FRA,,,2022-03-07,2022-03-07
62785,62785,210501,Dhananjay,Singh,U,20020629.0,IND,,,2022-03-07,2022-07-04
62786,62786,210502,Michael,Rossoni,U,20030526.0,ITA,,,2022-03-14,2022-03-21
62787,62787,210503,Mateo,Bejenaru,U,20010927.0,ROU,,,2022-05-02,2022-11-28
62788,62788,210504,Billy,Blaydes,U,20031209.0,GBR,,,2022-11-14,2023-06-26
62789,62789,210505,Marcel,Zielinski,R,20001027.0,POL,,,2022-06-27,2024-09-09
62790,62790,210506,Alex,Michelsen,R,20040825.0,USA,193.0,,2022-03-14,2024-12-18
62791,62791,210507,Nicolas,Villalon,R,20040221.0,CHI,180.0,,2022-11-21,2023-07-03
62792,62792,210508,Santiago,Passoni,U,20040615.0,ARG,,,2022-03-28,2023-06-26
62793,62793,210509,Martin,Buslje,U,20031008.0,ARG,,,2022-03-28,2023-06-26
62794,62794,210510,Lautaro,Midon,U,20040329.0,ARG,,,2022-03-28,2024-11-25
62795,62795,210511,Luke,Sorensen,R,20011107.0,AUS,193.0,,2023-07-24,2024-04-22
62796,62796,210512,Shuannon,Tricerri,U,20030201.0,AUS,,,2022-03-21,2023-05-08
62797,62797,210513,Tuncay,Duran,R,20040602.0,TUR,191.0,,2022-07-04,2024-10-28
62798,62798,210514,Edison,Ambarzumjan,U,19960731.0,GER,,,2022-08-08,2024-08-12
62799,62799,210515,Tarik,Mustafic,U,20020418.0,MKD,,,2022-04-04,2022-04-04
62800,62800,210516,Kiyan Santino,Kasemi,U,20030806.0,GER,,,2022-04-04,2022-04-04
62801,62801,210517,William,Alsterback,U,20031012.0,SWE,,,2022-04-04,2022-04-11
62802,62802,210518,Alex,Padro Parra,U,20040331.0,ESP,,,2022-04-04,2022-04-04
62803,62803,210519,Inaki,Cabrera Bello,U,20020611.0,ESP,,,2022-04-04,2022-11-28
62804,62804,210520,Nil,Regas Luis,R,20000625.0,ESP,,,2022-04-04,2024-03-25
62805,62805,210521,Aurel,Ciocanu,R,19980831.0,CAN,191.0,,2022-08-22,2024-05-27
62806,62806,210522,William,Jansen,L,20041206.0,GBR,188.0,,2022-05-30,2024-11-11
62807,62807,210523,Luca,Pow,L,20050201.0,GBR,,,2022-06-27,2024-10-14
62808,62808,210524,Fabio,Nestola,U,20050510.0,GBR,,,2024-03-18,2024-03-18
62809,62809,210525,Louis,Bowden,U,20041001.0,GBR,,,2023-04-17,2023-05-01
62810,62810,210526,Niccolo,Baroni,U,20031204.0,ITA,,,2022-04-25,2024-09-16
62811,62811,210527,Paolo,Rosati,U,20031213.0,ITA,,,2022-04-11,2022-04-11
62812,62812,210528,Anapat,Timangkul,R,20020618.0,THA,,,2022-04-11,2024-07-08
62813,62813,210529,James,Hartson,U,20010611.0,AUS,,,2022-04-11,2022-04-11
62814,62814,210530,Learner,Tien,L,20051202.0,USA,180.0,,2022-04-18,2024-12-18
62815,62815,210531,Paul,Inchauspe,R,20040225.0,FRA,,,2022-04-18,2024-06-17
62816,62816,210532,Giacomo,Crisostomo,R,20030729.0,ITA,,,2024-09-02,2024-09-09
62817,62817,210533,Valerio,Perruzza,U,20000331.0,ITA,,,2022-05-09,2024-08-05
62818,62818,210534,Nicola,Porcu,U,20030626.0,ITA,,,2022-04-18,2022-04-18
62819,62819,210535,Maxim,Shin,R,20030604.0,UZB,191.0,,2022-07-18,2024-09-02
62820,62820,210536,Rei,Sakamoto,R,20060624.0,JPN,193.0,,2022-09-26,2024-11-25
62821,62821,210537,Josip,Simundza,L,20041220.0,CRO,196.0,,2023-04-10,2024-08-26
62822,62822,210538,Noa,Vukadin,R,20040415.0,CRO,,,2024-05-20,2024-05-20
62823,62823,210539,Alessandro,Corcelli Perez,U,20010413.0,FRA,,,2022-05-02,2022-04-25
62824,62824,210540,Felix,Mischker,R,20030627.0,GBR,183.0,,2023-09-11,2024-09-09
